App,Category,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,review_group
mySharpBranded CI Test,TOOLS,0,898k,1+,Free,0,Everyone,Tools,"October 4, 2017",1.0.7,4.2 and up,"[0, 23)"
Houlihan Lawrence,LIFESTYLE,33,23M,"5,000+",Free,0,Everyone,Lifestyle,"October 12, 2017",3.9.5,4.2 and up,"[23, 889)"
CCleaner,TOOLS,885187,22M,"50,000,000+",Free,0,Everyone,Tools,"July 19, 2018",4.7.0,4.1 and up,[26432+)
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,2212,41M,"100,000+",Free,0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,"[889, 26432)"
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,10117,13M,"1,000,000+",Free,0,Everyone,House & Home,"June 29, 2018",3.6,4.0.3 and up,"[889, 26432)"
CrossFire: Legends,GAME,144040,29M,"5,000,000+",Free,0,Teen,Action,"July 25, 2018",1.0.9.10,4.0 and up,[26432+)
AQ Aspergers Test,MEDICAL,265,714k,"10,000+",Free,0,Everyone,Medical,"October 14, 2015",1.4.0,2.3.3 and up,"[23, 889)"
"Fox News – Breaking News, Live Video & News Alerts",NEWS_AND_MAGAZINES,249919,Varies with device,"10,000,000+",Free,0,Everyone 10+,News & Magazines,"July 30, 2018",Varies with device,Varies with device,[26432+)
Ghost In Photo,PHOTOGRAPHY,28429,14M,"5,000,000+",Free,0,Teen,Photography,"March 16, 2018",2.0,2.3 and up,[26432+)
Honkai Impact 3rd,GAME,59017,82M,"1,000,000+",Free,0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up,[26432+)
Universal AC Remote Control Simulator,FAMILY,119,3.9M,"50,000+",Free,0,Everyone,Entertainment,"December 22, 2017",1.0,4.0 and up,"[23, 889)"
Jorte Calendar & Organizer,PRODUCTIVITY,198051,Varies with device,"10,000,000+",Free,0,Everyone,Productivity,"July 30, 2018",Varies with device,Varies with device,[26432+)
Amazon Drive,PRODUCTIVITY,18669,4.1M,"1,000,000+",Free,0,Everyone,Productivity,"January 8, 2018",1.9.1.147.0-google,4.2 and up,"[889, 26432)"
Placement Tips for BE (CE/IT),FAMILY,7,6.3M,500+,Free,0,Everyone,Education,"June 24, 2016",1.4,4.0 and up,"[0, 23)"
Economic Times : Market News,NEWS_AND_MAGAZINES,93708,Varies with device,"5,000,000+",Free,0,Everyone,News & Magazines,"July 9, 2018",Varies with device,Varies with device,[26432+)
EXO-L Amino for EXO Fans,SOCIAL,5677,67M,"50,000+",Free,0,Teen,Social,"July 13, 2018",1.8.19106,4.0.3 and up,"[889, 26432)"
Motocross Fun Simulator,FAMILY,22570,35M,"1,000,000+",Free,0,Everyone,Simulation,"January 9, 2017",1.2,2.3.3 and up,"[889, 26432)"
Jigsaw Puzzles Volvo FH Truck Game,FAMILY,4,4.7M,100+,Free,0,Teen,Puzzle,"July 24, 2017",1.0,4.0.3 and up,"[0, 23)"
FindShip,MAPS_AND_NAVIGATION,23279,8.5M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"April 26, 2018",5.2.10,4.1 and up,"[889, 26432)"
Otto DM,SOCIAL,0,2.4M,10+,Free,0,Teen,Social,"March 7, 2018",1.0,4.0 and up,"[0, 23)"
DS Helpdesk Plus,BUSINESS,21,Varies with device,100+,Paid,$12.99,Everyone,Business,"January 30, 2017",Varies with device,Varies with device,"[0, 23)"
30 Day Ab Challenge FREE,HEALTH_AND_FITNESS,48253,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"December 13, 2017",Varies with device,Varies with device,[26432+)
4-T's Bar-BQ & Catering,SHOPPING,0,243k,10+,Free,0,Everyone,Shopping,"January 16, 2017",1.0.1,4.1 and up,"[0, 23)"
Newsroom: News Worth Sharing,NEWS_AND_MAGAZINES,201737,Varies with device,"10,000,000+",Free,0,Everyone 10+,News & Magazines,"July 3, 2018",Varies with device,Varies with device,[26432+)
CK Life,HEALTH_AND_FITNESS,3,60M,100+,Free,0,Teen,Health & Fitness,"August 2, 2018",2.0.0,4.4 and up,"[0, 23)"
SMS Sender - sluzba.cz,COMMUNICATION,12,72k,"1,000+",Free,0,Everyone,Communication,"June 1, 2012",2.00.00,2.0 and up,"[0, 23)"
"Savory - Deals,Freebies,Sales",SHOPPING,2375,1.1M,"100,000+",Free,0,Everyone,Shopping,"November 2, 2016",3.1,2.3.3 and up,"[889, 26432)"
Block Gun 3D: Haunted Hollow,GAME,16282,35M,"1,000,000+",Free,0,Teen,Action,"October 9, 2017",1.1.4,2.3 and up,"[889, 26432)"
EM Launcher Pro,PERSONALIZATION,35,24k,"1,000+",Paid,$3.99,Everyone,Personalization,"April 2, 2016",1.0,4.1 and up,"[23, 889)"
Mini DV,AUTO_AND_VEHICLES,12,19M,"5,000+",Free,0,Everyone,Auto & Vehicles,"May 29, 2018",1.27,4.0 and up,"[0, 23)"
Hay Day,FAMILY,10053186,94M,"100,000,000+",Free,0,Everyone,Casual,"June 28, 2018",1_39_93,4.0.3 and up,[26432+)
Wallpapers Toyota FJ Cruiser,PERSONALIZATION,78,10M,"10,000+",Free,0,Everyone,Personalization,"June 20, 2016",1.0,2.3.3 and up,"[23, 889)"
codeSpark Academy & The Foos,FAMILY,4522,57M,"500,000+",Free,0,Everyone,Educational;Education,"June 21, 2018",2.19.01,4.1 and up,"[889, 26432)"
X Home Bar - Free,TOOLS,4210,1.9M,"100,000+",Free,0,Everyone,Tools,"June 18, 2018",1.5.0,4.1 and up,"[889, 26432)"
Co-Optima Mobile,FINANCE,218,Varies with device,"10,000+",Free,0,Everyone,Finance,"June 8, 2017",Varies with device,Varies with device,"[23, 889)"
CG Vidhansabha Chunav 2018,NEWS_AND_MAGAZINES,0,3.4M,100+,Free,0,Teen,News & Magazines,"April 12, 2018",8.1,4.0.3 and up,"[0, 23)"
El Nuevo Día,NEWS_AND_MAGAZINES,8011,13M,"500,000+",Free,0,Everyone 10+,News & Magazines,"June 13, 2018",4.11.2,4.1 and up,"[889, 26432)"
App for Craigslist Pro - Buy & Sell Postings,LIFESTYLE,707,5.0M,"100,000+",Free,0,Everyone,Lifestyle,"May 9, 2018",App copyright,4.1 and up,"[23, 889)"
Dr. Booster - Boost Game Speed,TOOLS,138872,22M,"10,000,000+",Free,0,Everyone,Tools,"May 15, 2018",2.0.1077,4.1 and up,[26432+)
Financial Calculator Pro EF,FINANCE,634,2.0M,"50,000+",Free,0,Everyone,Finance,"October 4, 2013",2.1.0.9,2.1 and up,"[23, 889)"
FK Dedinje BGD,SPORTS,36,2.6M,100+,Free,0,Everyone,Sports,"February 11, 2017",1.1,4.0 and up,"[23, 889)"
European Union Simulator,FAMILY,688,26M,"50,000+",Free,0,Everyone,Simulation,"September 20, 2016",1.2,4.0.3 and up,"[23, 889)"
Ghostery Privacy Browser,COMMUNICATION,13100,2.2M,"1,000,000+",Free,0,Everyone,Communication,"March 20, 2018",1.4.1.0,4.0.3 and up,"[889, 26432)"
BP Assist,TOOLS,0,9.4M,100+,Free,0,Everyone,Tools,"July 3, 2018",4.4.14.4487,4.0.3 and up,"[0, 23)"
DV - Digito Verificador,TOOLS,2,4.2M,500+,Free,0,Everyone,Tools,"March 2, 2017",1.0,4.0 and up,"[0, 23)"
OptoDrum,MEDICAL,10,378k,"1,000+",Paid,$5.99,Everyone,Medical,"May 26, 2015",1.0,3.0 and up,"[0, 23)"
Blackjack aj Poker,GAME,8,4.2M,"1,000+",Free,0,Teen,Card,"October 19, 2016",1.1,2.3.3 and up,"[0, 23)"
BURGER KING® MOBILE APP,LIFESTYLE,19221,13M,"5,000,000+",Free,0,Everyone,Lifestyle,"May 24, 2018",Varies with device,Varies with device,"[889, 26432)"
CX-37,FAMILY,13,12M,"1,000+",Free,0,Everyone,Casual,"May 30, 2016",1.3_4,3.0 and up,"[0, 23)"
APagri CD,PRODUCTIVITY,5,Varies with device,10+,Free,0,Everyone,Productivity,"May 26, 2018",Varies with device,Varies with device,"[0, 23)"
Lock Screen - DU Locker & Lock screen wallpaper,TOOLS,5174,4.7M,"100,000+",Free,0,Everyone,Tools,"April 26, 2018",2.0.0,4.0 and up,"[889, 26432)"
BF Scale Health Fitness Tool,HEALTH_AND_FITNESS,19,9.6M,"1,000+",Free,0,Everyone,Health & Fitness,"November 29, 2017",2.1,4.3 and up,"[0, 23)"
Google Play Books,BOOKS_AND_REFERENCE,1433233,Varies with device,"1,000,000,000+",Free,0,Teen,Books & Reference,"August 3, 2018",Varies with device,Varies with device,[26432+)
Ek IRA,COMMUNICATION,0,5.7M,10+,Free,0,Everyone,Communication,"July 27, 2018",0.3.1,4.1 and up,"[0, 23)"
Bengali Newspaper - The first L.,NEWS_AND_MAGAZINES,11908,5.5M,"1,000,000+",Free,0,Everyone,News & Magazines,"July 1, 2018",8.3,4.1 and up,"[889, 26432)"
Mad Day - Truck Distance Game,GAME,29270,44M,"5,000,000+",Free,0,Everyone,Action,"July 25, 2018",1.4.3,4.0.3 and up,[26432+)
Goibibo - Flight Hotel Bus Car IRCTC Booking App,TRAVEL_AND_LOCAL,459851,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 1, 2018",3.9.7,4.3 and up,[26432+)
Pocket U ASW,FAMILY,93,28M,"10,000+",Free,0,Everyone,Education,"July 25, 2018",3.0.6,4.2 and up,"[23, 889)"
EY Belgium Inhouse Day 2018,EVENTS,0,24M,10+,Free,0,Everyone,Events,"May 14, 2018",18.4.8.0,4.1 and up,"[0, 23)"
Easy Installer - Apps On SD,BUSINESS,23055,Varies with device,"5,000,000+",Free,0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device,"[889, 26432)"
I am Dentist - Save my Teeth,FAMILY,7443,33M,"100,000+",Free,0,Everyone,Casual,"September 29, 2016",1.0.11,3.0 and up,"[889, 26432)"
Cures A-Z,HEALTH_AND_FITNESS,265,4.1M,"100,000+",Free,0,Everyone,Health & Fitness,"August 13, 2015",2.1,3.0 and up,"[23, 889)"
"USA Singles Meet, Match and Date Free - Date",DATING,5084,9.6M,"100,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.55,4.1 and up,"[889, 26432)"
Lead'er,FINANCE,54,5.8M,"5,000+",Free,0,Everyone,Finance,"March 20, 2018",1.5,4.0 and up,"[23, 889)"
Who Viewed My Facebook Profile - Stalkers Visitors,SOCIAL,271445,9.9M,"5,000,000+",Free,0,Everyone,Social,"June 24, 2018",4.1.1,4.0.3 and up,[26432+)
Google+,SOCIAL,4831125,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 26, 2018",Varies with device,Varies with device,[26432+)
People's Bank,FINANCE,10697,46M,"1,000,000+",Free,0,Everyone,Finance,"July 18, 2018",3.22.1,4.1 and up,"[889, 26432)"
DP Photo Editor,PHOTOGRAPHY,88,7.7M,"10,000+",Free,0,Everyone,Photography,"September 29, 2017",2.5,4.1 and up,"[23, 889)"
edp re:dy,TOOLS,172,Varies with device,"10,000+",Free,0,Everyone,Tools,"June 20, 2018",Varies with device,Varies with device,"[23, 889)"
Neon Glow C - Icon Pack,PERSONALIZATION,557,74M,"10,000+",Paid,$0.99,Everyone,Personalization,"July 27, 2018",4.5.0,4.0.3 and up,"[23, 889)"
Lazionews.eu,NEWS_AND_MAGAZINES,25,18M,"1,000+",Free,0,Everyone,News & Magazines,"May 18, 2018",1.0.1,4.0 and up,"[23, 889)"
FO SODEXO,COMMUNICATION,0,16M,100+,Free,0,Everyone,Communication,"March 13, 2018",1.0,4.1 and up,"[0, 23)"
Autoroute.EU,BUSINESS,10,2.7M,"1,000+",Free,0,Everyone,Business,"July 19, 2016",2.6,4.0.3 and up,"[0, 23)"
The Vietnam Story - Fun Stories,COMICS,438,3.4M,"10,000+",Free,0,Everyone,Comics,"December 27, 2017",1.0,2.3 and up,"[23, 889)"
Multi Surgery ER Emergency Hospital : Doctor Game,FAMILY,227,69M,"10,000+",Free,0,Teen,Educational,"June 21, 2018",1.2,4.0 and up,"[23, 889)"
foody Cyprus - online ordering,SHOPPING,214,1.8M,"10,000+",Free,0,Everyone,Shopping,"February 27, 2018",2.92,4.0.3 and up,"[23, 889)"
Alif Ba Ta Song - Arabic Kids,FAMILY,227,15M,"50,000+",Free,0,Everyone,Educational;Education,"February 24, 2018",1.0,2.3 and up,"[23, 889)"
French Chat Room,DATING,24,4.9M,"1,000+",Free,0,Mature 17+,Dating,"July 11, 2018",1.0,4.0.3 and up,"[23, 889)"
Dan the Man: Action Platformer,GAME,528550,73M,"10,000,000+",Free,0,Teen,Arcade,"July 26, 2018",1.2.6,4.1 and up,[26432+)
CP Plus Showcase,BUSINESS,236,7.0M,"50,000+",Free,0,Everyone,Business,"March 9, 2018",1.0.4,4.0 and up,"[23, 889)"
Motocross Beach Jumping 3D,FAMILY,105954,43M,"10,000,000+",Free,0,Teen,Simulation,"June 5, 2018",1.7.3,4.1 and up,[26432+)
Super Dancer,GAME,91667,27M,"1,000,000+",Free,0,Everyone,Arcade,"July 24, 2018",3.3,2.3 and up,[26432+)
Download Instant DP (Full HD),TOOLS,1283,4.4M,"100,000+",Free,0,Everyone,Tools,"August 4, 2018",4.1.0,4.1 and up,"[889, 26432)"
Simple EV Calc,PRODUCTIVITY,105,72M,"1,000+",Free,0,Everyone,Productivity,"October 16, 2017",2.2.2,4.4 and up,"[23, 889)"
Battlelands Royale,GAME,105620,61M,"1,000,000+",Free,0,Everyone 10+,Action,"July 16, 2018",0.5.8,4.1 and up,[26432+)
Alabama Gameday Live,SPORTS,19,12M,"1,000+",Free,0,Everyone,Sports,"May 18, 2018",2.0.1,4.2 and up,"[0, 23)"
Kung Fu Do Fighting,GAME,271214,Varies with device,"10,000,000+",Free,0,Teen,Arcade,"July 25, 2018",Varies with device,Varies with device,[26432+)
Game for KIDS: KIDS match'em,EDUCATION,7005,6.9M,"1,000,000+",Free,0,Everyone,Education,"October 23, 2016",1.17,2.3 and up,"[889, 26432)"
My Boo - Your Virtual Pet Game,FAMILY,899748,80M,"10,000,000+",Free,0,Everyone,Casual,"August 3, 2018",2.11,4.1 and up,[26432+)
AC Mobile Control,HOUSE_AND_HOME,1450,9.7M,"100,000+",Free,0,Everyone,House & Home,"November 5, 2013",2.4,2.2 and up,"[889, 26432)"
Mini DAYZ: Zombie Survival,GAME,94661,Varies with device,"1,000,000+",Free,0,Teen,Action,"June 8, 2018",1.4.0,4.4 and up,[26432+)
Bokeh (Background defocus),PHOTOGRAPHY,50109,Varies with device,"10,000,000+",Free,0,Everyone,Photography,"June 7, 2018",Varies with device,Varies with device,[26432+)
MAPS.ME – Offline Map and Travel Navigation,TRAVEL_AND_LOCAL,932870,Varies with device,"50,000,000+",Free,0,Everyone,Travel & Local,"July 27, 2018",8.3.3-Google,4.0.3 and up,[26432+)
F&M Bank - EZ Banking,FINANCE,49,3.9M,"10,000+",Free,0,Everyone,Finance,"February 24, 2017",3.34.0+1702241319.a,4.1 and up,"[23, 889)"
Barcelona Live 2018—Goals & News for Barca FC Fans,SPORTS,342,38M,"10,000+",Free,0,Everyone,Sports,"August 6, 2018",2.22.0,4.2 and up,"[23, 889)"
magicApp Calling & Messaging,SOCIAL,207712,Varies with device,"10,000,000+",Free,0,Everyone,Social,"June 9, 2018",4.18.962.5,2.3 and up,[26432+)
Soo Co-op Mobile Banking,FINANCE,159,14M,"1,000+",Free,0,Everyone,Finance,"September 12, 2017",4.2.87,4.0.3 and up,"[23, 889)"
Local Weather Forecast & Visual Widget,WEATHER,3478,6.1M,"500,000+",Free,0,Everyone,Weather,"August 2, 2018",2.9.10,4.2 and up,"[889, 26432)"
Tennis 24 - tennis live scores,SPORTS,990,9.4M,"100,000+",Free,0,Everyone,Sports,"July 18, 2018",2.28.1,4.1 and up,"[889, 26432)"
Digit Save Money Automatically,FINANCE,8188,22M,"100,000+",Free,0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up,"[889, 26432)"
Google AdSense,PRODUCTIVITY,52677,2.9M,"1,000,000+",Free,0,Everyone,Productivity,"December 13, 2017",3.3,4.0 and up,[26432+)
Lovely Cute Pink Kitty Cat Keyboard Theme,PERSONALIZATION,2267,7.2M,"500,000+",Free,0,Everyone,Personalization,"July 9, 2018",6.7.5,4.0.3 and up,"[889, 26432)"
DG TV,NEWS_AND_MAGAZINES,3,5.7M,100+,Free,0,Everyone,News & Magazines,"May 26, 2018",1.2,4.1 and up,"[0, 23)"
CT Prepares,NEWS_AND_MAGAZINES,13,4.3M,"1,000+",Free,0,Everyone,News & Magazines,"November 1, 2016",1.0.3,4.4 and up,"[0, 23)"
Video Downloader for Facebook,TOOLS,894435,3.1M,"50,000,000+",Free,0,Teen,Tools,"July 1, 2018",2.2.8,4.0 and up,[26432+)
CT Sessions,MEDICAL,62,20M,"5,000+",Free,0,Everyone,Medical,"December 15, 2014",2.2,2.3 and up,"[23, 889)"
DF-Server Mobile,PRODUCTIVITY,17,76M,100+,Free,0,Everyone,Productivity,"June 7, 2016",1.0.0,4.4 and up,"[0, 23)"
Shaggy's DM Assistant,PRODUCTIVITY,0,Varies with device,5+,Free,0,Everyone,Productivity,"January 14, 2018",Varies with device,Varies with device,"[0, 23)"
GPS Map Free,TRAVEL_AND_LOCAL,33782,7.6M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 11, 2018",4.6,4.0 and up,[26432+)
ec-Work,PRODUCTIVITY,3,26M,100+,Free,0,Everyone,Productivity,"July 9, 2018",1.12,5.0 and up,"[0, 23)"
Fr Daoud Lamei,SOCIAL,2036,6.8M,"100,000+",Free,0,Everyone,Social,"May 20, 2018",1.72,4.0.3 and up,"[889, 26432)"
Fulham FC,SPORTS,401,2.8M,"10,000+",Free,0,Everyone,Sports,"August 9, 2017",5.0,2.3 and up,"[23, 889)"
bz Baselland E-Paper,NEWS_AND_MAGAZINES,69,25M,"5,000+",Free,0,Everyone,News & Magazines,"August 24, 2017",5.1.4,4.4 and up,"[23, 889)"
Indeed Job Search,BUSINESS,674730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"May 21, 2018",Varies with device,Varies with device,[26432+)
P Launcher for Android™ 9.0,PERSONALIZATION,35,6.3M,"5,000+",Free,0,Everyone,Personalization,"July 1, 2018",0.9.3,5.0 and up,"[23, 889)"
Co-Dependents Anonymous,LIFESTYLE,0,12M,500+,Free,0,Everyone,Lifestyle,"February 28, 2018",1.0.1,4.1 and up,"[0, 23)"
AC Troubleshooter,TOOLS,147,4.2M,"10,000+",Free,0,Everyone,Tools,"January 8, 2015",1.3,3.0 and up,"[23, 889)"
EG Groups,EVENTS,0,1.1M,10+,Free,0,Everyone,Events,"October 15, 2017",1.0.0,4.0 and up,"[0, 23)"
Flipkart Online Shopping App,SHOPPING,6012719,Varies with device,"100,000,000+",Free,0,Teen,Shopping,"August 6, 2018",Varies with device,Varies with device,[26432+)
JuiceNet - Smart EV Charging,MAPS_AND_NAVIGATION,106,24M,"5,000+",Free,0,Everyone,Maps & Navigation,"July 9, 2018",2.1.223,4.0 and up,"[23, 889)"
Naruto & Boruto FR,SOCIAL,7,7.7M,100+,Free,0,Teen,Social,"February 2, 2018",1.0,4.0 and up,"[0, 23)"
Wallpaper.cz,PHOTOGRAPHY,7,2.2M,100+,Free,0,Everyone,Photography,"July 11, 2015",1.2.0,3.0 and up,"[0, 23)"
ES File Explorer & File Manager 2018,TOOLS,24,2.9M,"5,000+",Free,0,Everyone,Tools,"March 17, 2018",1.1,4.2 and up,"[23, 889)"
Afterlight,PHOTOGRAPHY,50893,35M,"1,000,000+",Free,0,Everyone,Photography,"November 20, 2014",1.0.6,4.0.3 and up,[26432+)
EG CrossPad,BUSINESS,3,Varies with device,"1,000+",Free,0,Everyone,Business,"December 19, 2016",Varies with device,Varies with device,"[0, 23)"
Weight Loss Tracker - RecStyle,HEALTH_AND_FITNESS,20547,5.7M,"1,000,000+",Free,0,Everyone,Health & Fitness,"November 29, 2017",3.2.7,4.1 and up,"[889, 26432)"
Co-op CRS,LIFESTYLE,581,26M,"100,000+",Free,0,Everyone,Lifestyle,"March 4, 2018",2.4.3,4.4 and up,"[23, 889)"
Aldiko Book Reader,BOOKS_AND_REFERENCE,210534,22M,"10,000,000+",Free,0,Everyone,Books & Reference,"June 13, 2018",3.0.58,4.0 and up,[26432+)
How to Write CV,BOOKS_AND_REFERENCE,244,4.1M,"100,000+",Free,0,Everyone,Books & Reference,"April 22, 2016",1.0.0,4.0 and up,"[23, 889)"
IV Calc CP Calculator Toolkit,TOOLS,242,3.2M,"10,000+",Free,0,Everyone,Tools,"October 6, 2016",1.3,4.2 and up,"[23, 889)"
BJ Memo Widget,PRODUCTIVITY,616,175k,"50,000+",Free,0,Everyone,Productivity,"September 22, 2014",1.3,3.0 and up,"[23, 889)"
Dubsmash,VIDEO_PLAYERS,1971777,29M,"100,000,000+",Free,0,Teen,Video Players & Editors,"May 11, 2018",2.35.8,4.1 and up,[26432+)
dt Pro,FINANCE,4,4.5M,"1,000+",Free,0,Everyone,Finance,"May 16, 2017",3.10,2.2 and up,"[0, 23)"
Home Scouting® MLS Mobile,LIFESTYLE,1533,7.7M,"100,000+",Free,0,Everyone,Lifestyle,"September 27, 2016",2.2.6,2.2 and up,"[889, 26432)"
Read books online,BOOKS_AND_REFERENCE,91615,23M,"5,000,000+",Free,0,Mature 17+,Books & Reference,"June 29, 2018",3.12,4.1 and up,[26432+)
Asahi Shimbun Digital,NEWS_AND_MAGAZINES,735,6.3M,"500,000+",Free,0,Everyone,News & Magazines,"July 25, 2018",6.3.0,4.0.3 and up,"[23, 889)"
BL PowerPoint Remote,TOOLS,33,1.0M,500+,Paid,$3.99,Everyone,Tools,"February 25, 2015",2.6.150226,2.3 and up,"[23, 889)"
Endress+Hauser Operations,BUSINESS,234,3.4M,"10,000+",Free,0,Everyone,Business,"April 16, 2018",2.4.3.1523,4.0 and up,"[23, 889)"
AG Fast Service Automotive,AUTO_AND_VEHICLES,5,1.7M,100+,Free,0,Everyone,Auto & Vehicles,"June 12, 2018",1.0.8,4.4 and up,"[0, 23)"
Clash of Kings : The King Of Fighters version,FAMILY,2233681,97M,"50,000,000+",Free,0,Teen,Strategy,"August 1, 2018",3.44.0,2.3.3 and up,[26432+)
CD Music,LIBRARIES_AND_DEMO,1,2.3M,100+,Free,0,Everyone,Libraries & Demo,"March 30, 2018",1.0,4.4 and up,"[0, 23)"
Banjo,SOCIAL,58341,9.3M,"1,000,000+",Free,0,Everyone,Social,"July 25, 2015",4.6.2.0,2.3 and up,[26432+)
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,77563,39M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,[26432+)
A-Y Collection,SHOPPING,2,2.9M,100+,Free,0,Teen,Shopping,"February 16, 2018",1.2,4.1 and up,"[0, 23)"
Train Sim Pro,FAMILY,1763,Varies with device,"10,000+",Paid,$1.49,Everyone,Simulation;Pretend Play,"June 25, 2018",3.9.9,4.1 and up,"[889, 26432)"
My Style CM 13 Theme,PERSONALIZATION,314,11M,"10,000+",Free,0,Everyone,Personalization,"September 8, 2016",1.9,5.0 - 6.0,"[23, 889)"
uCiC- Videos and Photos on demand,SOCIAL,2052,7.0M,"100,000+",Free,0,Teen,Social,"September 27, 2017",2.16,4.4 and up,"[889, 26432)"
Navi Radiography Pro,MEDICAL,11,100M,500+,Paid,$15.99,Everyone,Medical,"January 14, 2018",1.2.0,4.0.3 and up,"[0, 23)"
