Category,Rating,Reviews,Content Rating,Genres,Current Ver,NewSize,InstallNews,PriceNew,LastUpdatedYear,LastUpdatedMonth,LastUpdatedDay,AndroidVerNew,review_group_new,TypeNew
FAMILY,1.0,4421,Teen,Strategy,1.77,37000000.0,50000,2.99,2014,11,5,2.2,3,1
LIBRARIES_AND_DEMO,1.0,120,Everyone,Libraries & Demo,2.3.2,782000.0,10000,0.0,2017,2,5,1.6,2,0
FAMILY,1.0,138050,Everyone,Entertainment;Music & Video,2.4,5700000.0,10000000,0.0,2018,4,19,4.0,4,0
LIFESTYLE,1.0,26,Teen,Lifestyle,3.8.0,8400000.0,1000,0.0,2018,6,25,4.1,2,0
GAME,1.0,1123190,Teen,Card,Varies with device,12000000.0,10000000,0.0,2018,8,7,4.0,4,0
LIFESTYLE,1.0,82145,Everyone,Lifestyle,10.19.0.0,30000000.0,50000000,0.0,2018,7,5,4.4,4,0
FAMILY,1.0,13492,Teen,Role Playing,1.1.4g,56000000.0,100000,0.0,2018,7,9,4.1,3,0
FAMILY,1.0,2931,Everyone,Entertainment,1.1,818000.0,100000,0.0,2017,8,4,4.2,3,0
HOUSE_AND_HOME,0.0,2496,Everyone,House & Home,Varies with device,12000000.0,500000,0.0,2018,7,5,4.0,3,0
ENTERTAINMENT,1.0,64448,Mature 17+,Entertainment,43,4400000.0,1000000,0.0,2018,7,21,4.0,4,0
NEWS_AND_MAGAZINES,1.0,66978,Teen,News & Magazines,Varies with device,12000000.0,1000000,0.0,2018,8,6,4.0,4,0
VIDEO_PLAYERS,1.0,20755,Everyone,Video Players & Editors,4.0.3,17000000.0,1000000,0.0,2018,3,16,4.1,3,0
BOOKS_AND_REFERENCE,1.0,67186,Everyone 10+,Books & Reference,4.4.10,6300000.0,1000000,0.0,2018,5,18,2.3,4,0
DATING,1.0,0,Mature 17+,Dating,1.0,13000000.0,50,0.0,2018,7,10,4.1,1,0
FINANCE,0.0,252,Everyone,Finance,1.4.1033,18000000.0,10000,0.0,2017,10,11,4.1,2,0
TOOLS,1.0,45610,Everyone,Tools,1.56,176000.0,10000000,0.0,2018,1,2,1.6,4,0
FINANCE,0.0,10374,Everyone,Finance,Varies with device,12000000.0,500000,0.0,2016,10,24,4.0,3,0
BUSINESS,1.0,4,Everyone,Business,1.0.4,12000000.0,100,0.0,2017,11,6,4.4,1,0
GAME,1.0,4147718,Everyone,Arcade,1.4.0,79000000.0,100000000,0.0,2015,11,26,2.3,4,0
FINANCE,1.0,24,Everyone,Finance,17.25.11,70000000.0,1000,0.0,2018,4,18,4.1,2,0
FAMILY,1.0,0,Everyone,Entertainment,1.0.6,1800000.0,50,0.0,2017,5,17,4.0,1,0
MEDICAL,1.0,3,Everyone,Medical,300000.0.80,28000000.0,100,0.0,2017,4,21,4.0,1,0
COMMUNICATION,1.0,1,Teen,Communication,1.0,25000000.0,10,0.0,2017,10,18,4.0,1,0
FAMILY,1.0,158,Everyone,Entertainment,17.0,2600000.0,10000,0.0,2018,6,14,4.0,2,0
PRODUCTIVITY,1.0,85,Everyone,Productivity,2.7.8,44000000.0,10000,0.0,2018,8,2,4.1,2,0
MEDICAL,1.0,1,Mature 17+,Medical,2.3.5,6100000.0,100,0.0,2018,3,8,4.1,1,0
PRODUCTIVITY,1.0,376,Everyone,Productivity,2.15.1,32000000.0,50000,0.0,2018,7,23,4.4,2,0
BUSINESS,1.0,0,Teen,Business,1.0.7,14000000.0,50,0.0,2017,12,4,2.2,1,0
VIDEO_PLAYERS,0.0,906384,Teen,Video Players & Editors,Varies with device,12000000.0,1000000000,0.0,2018,8,6,4.0,4,0
LIFESTYLE,1.0,10484,Everyone,Lifestyle,1.4.9,9000000.0,1000000,0.0,2018,6,9,4.1,3,0
WEATHER,0.0,15966,Everyone,Weather,2.0,9200000.0,1000000,0.0,2017,7,17,2.3,3,0
FAMILY,1.0,288523,Everyone,Adventure;Education,2.7.4,92000000.0,10000000,0.0,2018,5,8,4.0,4,0
FAMILY,1.0,32029,Everyone,Casual;Pretend Play,1.2,15000000.0,5000000,0.0,2017,11,6,4.1,4,0
FAMILY,0.0,12414,Everyone,Entertainment,1.0.0,13000000.0,1000000,0.0,2017,8,4,4.1,3,0
TOOLS,1.0,166367,Everyone,Tools,1.4.0,1800000.0,5000000,0.0,2018,5,25,2.3,4,0
GAME,1.0,63680,Everyone 10+,Adventure,2.2.2,46000000.0,1000000,0.0,2018,6,2,4.1,4,0
EDUCATION,1.0,2544,Everyone,Education,3.1,18000000.0,100000,0.0,2017,12,29,4.0,3,0
SOCIAL,1.0,725,Teen,Social,7.5.3,3700000.0,10000,0.0,2016,10,12,2.2,2,0
MAPS_AND_NAVIGATION,1.0,50459,Everyone,Maps & Navigation,Varies with device,12000000.0,5000000,0.0,2018,7,26,4.0,4,0
SHOPPING,1.0,1315242,Everyone,Shopping,3.27.1,12000000.0,50000000,0.0,2018,7,21,4.1,4,0
NEWS_AND_MAGAZINES,1.0,145,Everyone,News & Magazines,3.1.3,16000000.0,10000,0.0,2016,2,26,4.0,2,0
FAMILY,1.0,1647,Everyone,Role Playing,1.0.5,16000000.0,10000,14.99,2017,2,28,2.3,3,1
HEALTH_AND_FITNESS,1.0,20161,Everyone,Health & Fitness,Varies with device,12000000.0,1000000,0.0,2018,8,1,4.0,3,0
SOCIAL,0.0,19,Teen,Social,2.0,15000000.0,5000,0.0,2018,2,13,4.1,1,0
PARENTING,0.0,4976,Everyone,Parenting;Education,2.04.2714,2800000.0,1000000,0.0,2018,5,28,4.0,3,0
COMMUNICATION,1.0,6601,Everyone,Communication,4.7.0,31000000.0,500000,0.0,2018,7,2,4.1,3,0
FAMILY,1.0,175509,Everyone,Entertainment,Varies with device,12000000.0,10000000,0.0,2018,8,7,4.0,4,0
LIBRARIES_AND_DEMO,0.0,24,Everyone,Libraries & Demo,2.3.2,478000.0,1000,0.0,2017,2,5,1.6,2,0
LIFESTYLE,1.0,0,Everyone,Lifestyle,7.2.2,8900000.0,10,0.0,2018,7,31,4.1,1,0
LIBRARIES_AND_DEMO,1.0,142,Everyone,Libraries & Demo,2.3.2,442000.0,10000,0.0,2017,2,5,1.6,2,0
PRODUCTIVITY,1.0,57904,Everyone,Productivity,12.8.2-pi,11000000.0,1000000,0.0,2018,7,1,4.2,4,0
GAME,0.0,37789,Teen,Adventure,1.5.2,58000000.0,1000000,0.0,2018,6,6,4.1,4,0
GAME,1.0,260527,Everyone,Arcade,1.00,49000000.0,10000000,0.0,2017,12,21,4.0,4,0
TOOLS,1.0,4594198,Everyone,Tools,Varies with device,12000000.0,100000000,0.0,2018,7,31,4.0,4,0
MEDICAL,1.0,3,Everyone,Medical,2014.01,97000.0,50,0.99,2014,1,22,1.6,1,1
MEDICAL,0.0,214,Everyone,Medical,2.1.35,68000000.0,1000,33.99,2017,10,2,4.0,2,1
TRAVEL_AND_LOCAL,1.0,17878,Everyone,Travel & Local,6.7.1,28000000.0,1000000,0.0,2018,7,16,4.1,3,0
FAMILY,1.0,38,Everyone,Entertainment,5.2,6700000.0,1000,0.0,2018,6,15,4.4,2,0
SPORTS,1.0,2710,Everyone,Sports,4.0,4800000.0,100000,0.0,2017,11,27,4.1,3,0
COMMUNICATION,1.0,125257,Teen,Communication,1.8.9,17000000.0,10000000,0.0,2018,6,6,4.1,4,0
TOOLS,1.0,139480,Everyone,Tools,v150,12000000.0,5000000,0.0,2018,4,19,4.1,4,0
FAMILY,1.0,54,Everyone,Education,3.1.2,50000000.0,1000,19.4,2017,11,18,4.2,2,1
FAMILY,1.0,21804,Everyone 10+,Role Playing,2.6.6,44000000.0,1000000,0.99,2018,7,3,2.3,3,1
PHOTOGRAPHY,1.0,53421,Everyone,Photography,2.74.685,26000000.0,10000000,0.0,2018,8,6,4.0,4,0
FAMILY,1.0,20,Everyone,Casual,1.0.0,23000000.0,500,0.0,2015,5,27,2.3,1,0
LIFESTYLE,1.0,3829,Everyone,Lifestyle,3.9.3,23000000.0,1000000,0.0,2018,6,1,4.1,3,0
PERSONALIZATION,1.0,5,Everyone,Personalization,2.0,3400000.0,50,0.99,2015,3,20,3.0,1,1
SHOPPING,1.0,16966,Everyone,Shopping,6.10.0,34000000.0,1000000,0.0,2018,7,12,4.0,3,0
PERSONALIZATION,1.0,26,Everyone,Personalization,1.0.3,5600000.0,1000,0.0,2017,3,3,4.0,2,0
FAMILY,1.0,4,Everyone,Entertainment,1.0,2000000.0,100,0.0,2017,10,30,4.0,1,0
MEDICAL,1.0,2,Everyone,Medical,1.1,1800000.0,50,0.99,2018,8,4,4.1,1,1
FAMILY,1.0,5,Everyone,Entertainment,1.1,64000000.0,100,0.0,2018,1,19,4.4,1,0
SHOPPING,1.0,31,Everyone,Shopping,1.3.1,34000000.0,1000,0.0,2017,8,9,4.1,2,0
FAMILY,0.0,576210,Everyone,Casual,3.25.3,48000000.0,50000000,0.0,2013,8,22,2.3,4,0
FAMILY,1.0,2576,Everyone,Role Playing,1.0.5,44000000.0,10000,4.99,2018,3,9,4.0,3,1
FINANCE,1.0,1,Everyone,Finance,1.0.2,5800000.0,1,0.0,2018,7,27,5.0,1,0
FAMILY,1.0,22,Everyone,Education,2.0,3600000.0,1000,0.0,2017,11,7,4.4,1,0
FAMILY,1.0,2420,Teen,Entertainment,5.3.6.0,6700000.0,50000,0.0,2018,7,28,4.1,3,0
DATING,0.0,149,Mature 17+,Dating,4.8.5,16000000.0,10000,0.0,2018,7,31,4.0,2,0
HEALTH_AND_FITNESS,1.0,220125,Everyone,Health & Fitness,1.0.14,11000000.0,10000000,0.0,2018,7,31,4.0,4,0
FAMILY,1.0,34514,Everyone,Puzzle;Brain Games,1.2.8,60000000.0,5000000,0.0,2018,7,20,4.1,4,0
PERSONALIZATION,1.0,2,Teen,Personalization,1.0,12000000.0,100,0.0,2017,3,5,4.1,1,0
FAMILY,1.0,50887,Everyone,Education;Education,7.2.0,91000000.0,5000000,0.0,2018,7,3,4.4,4,0
TOOLS,0.0,202,Everyone,Tools,2.0,2900000.0,50000,0.0,2018,3,15,4.3,2,0
NEWS_AND_MAGAZINES,1.0,17671,Everyone 10+,News & Magazines,2.3.10,17000000.0,1000000,0.0,2018,8,6,4.2,3,0
FAMILY,1.0,1143,Everyone 10+,Casual,1.0,15000000.0,10000,2.99,2013,5,21,2.0,3,1
FAMILY,1.0,131,Everyone,Education,3.3.1,2000000.0,5000,0.0,2016,11,17,2.2,2,0
NEWS_AND_MAGAZINES,0.0,188,Everyone,News & Magazines,1.0,9900000.0,10000,0.0,2016,5,12,4.0,2,0
FAMILY,1.0,762706,Teen,Simulation,6.7.5,28000000.0,10000000,0.0,2018,3,30,4.0,4,0
BOOKS_AND_REFERENCE,1.0,21336,Everyone,Books & Reference,1.28,23000000.0,1000000,0.0,2018,6,20,3.0,3,0
PRODUCTIVITY,1.0,607,Everyone,Productivity,1.1,37000000.0,50000,0.0,2016,7,24,4.0,2,0
GAME,1.0,14198297,Everyone,Sports,4.0.0,52000000.0,100000000,0.0,2018,7,31,4.0,4,0
MEDICAL,0.0,25,Everyone,Medical,1.2,266000.0,1000,10.99,2016,12,8,2.1,2,1
BUSINESS,1.0,13,Everyone,Business,1.0,3800000.0,100,0.0,2018,4,23,4.0,1,0
PRODUCTIVITY,1.0,30443,Everyone,Productivity,0.54.2.4,540000.0,1000000,0.0,2018,7,3,2.1,4,0
PHOTOGRAPHY,1.0,477831,Everyone,Photography,2.0.17.9,51000000.0,10000000,0.0,2018,7,28,4.0,4,0
TRAVEL_AND_LOCAL,1.0,2129689,Everyone,Travel & Local,Varies with device,12000000.0,1000000000,0.0,2018,8,6,4.0,4,0
VIDEO_PLAYERS,1.0,1008,Everyone,Video Players & Editors,1.0.9,1700000.0,100000,0.0,2015,6,26,4.0,3,0
FAMILY,1.0,15,Everyone,Simulation,1.0,46000000.0,1000,0.0,2017,5,31,2.3,1,0
TOOLS,1.0,294,Everyone,Tools,2.0,3000000.0,50000,0.0,2018,3,10,4.3,2,0
PRODUCTIVITY,1.0,574719,Everyone,Productivity,5.0.0.1442,20000000.0,10000000,0.0,2018,7,16,4.1,4,0
BUSINESS,1.0,3972,Teen,Business,5.1.14,5600000.0,100000,0.0,2018,6,25,4.0,3,0
FAMILY,1.0,39,Everyone,Entertainment,3.0.57,7400000.0,1000,0.0,2018,3,9,4.1,2,0
LIBRARIES_AND_DEMO,0.0,1919,Everyone,Libraries & Demo,5.9.1,8100000.0,500000,0.0,2018,7,11,4.1,3,0
MEDICAL,1.0,0,Everyone,Medical,2.0.0 (35717),25000000.0,10,0.0,2018,7,24,4.4,1,0
WEATHER,1.0,1422858,Everyone,Weather,Varies with device,12000000.0,50000000,0.0,2018,8,3,4.0,4,0
PRODUCTIVITY,1.0,0,Everyone,Productivity,3.9.4,5800000.0,500,0.0,2017,8,17,4.0,1,0
EDUCATION,1.0,211856,Everyone,Education,Varies with device,12000000.0,10000000,0.0,2018,8,1,4.0,4,0
TOOLS,1.0,191621,Everyone,Tools,1.43,6100000.0,10000000,0.0,2018,5,29,4.0,4,0
FAMILY,1.0,129542,Everyone,Strategy;Creativity,2.4.9,63000000.0,1000000,0.0,2018,7,23,4.0,4,0
GAME,1.0,1,Teen,Card,1.0.0,11000000.0,100,1.99,2013,8,27,2.2,1,1
PRODUCTIVITY,1.0,182,Everyone,Productivity,1.0.1,7000000.0,50000,0.0,2018,4,28,4.2,2,0
COMMUNICATION,1.0,330761,Everyone,Communication,Varies with device,12000000.0,10000000,0.0,2018,7,3,4.0,4,0
HEALTH_AND_FITNESS,1.0,20301,Everyone,Health & Fitness,3.22,22000000.0,1000000,0.0,2018,5,16,4.3,3,0
TOOLS,1.0,76,Everyone,Tools,1.4,2200000.0,50000,0.0,2018,4,5,4.0,2,0
EVENTS,1.0,731,Everyone,Events,2.0,11000000.0,50000,0.0,2017,12,24,4.0,2,0
FAMILY,0.0,269,Teen,Educational,1.0,39000000.0,50000,0.0,2017,6,3,4.0,2,0
SHOPPING,1.0,69,Everyone,Shopping,5.29.0,6400000.0,5000,0.0,2018,6,15,5.0,2,0
FAMILY,0.0,23682,Teen,Casual,6.2,9800000.0,1000000,0.0,2018,6,14,4.0,3,0
FAMILY,1.0,7,Everyone,Puzzle,1.2,73000000.0,10,0.99,2017,7,6,4.1,1,1
SPORTS,0.0,30840,Teen,Sports,Varies with device,12000000.0,1000000,0.0,2018,5,22,4.0,4,0
PRODUCTIVITY,1.0,0,Everyone,Productivity,2.2,473000.0,10,0.99,2014,6,13,2.2,1,1
TOOLS,1.0,2059,Everyone,Tools,1.1.4,10000000.0,100000,0.0,2018,5,22,5.0,3,0
BUSINESS,0.0,91,Everyone,Business,3.44.2,8900000.0,5000,0.0,2018,6,7,4.0,2,0
ENTERTAINMENT,1.0,23063,Everyone,Entertainment;Brain Games,1.0.9,17000000.0,1000000,0.0,2018,8,3,4.1,3,0
HEALTH_AND_FITNESS,1.0,31139,Everyone,Health & Fitness,1.0.11,6900000.0,1000000,0.0,2018,7,24,4.1,4,0
GAME,1.0,1628,Everyone,Trivia,1.3,34000000.0,50000,0.0,2014,4,10,2.3,3,0
BUSINESS,0.0,183,Everyone,Business,2.5.1.7594.psb,9900000.0,50000,0.0,2018,7,16,4.0,2,0
LIBRARIES_AND_DEMO,1.0,2580,Everyone,Libraries & Demo,2.0,20000000.0,100000,0.0,2018,3,8,2.3,3,0
PERSONALIZATION,0.0,730,Everyone,Personalization,1.95,2300000.0,100000,0.0,2013,11,18,2.1,2,0
COMMUNICATION,1.0,350154,Everyone,Communication,Varies with device,12000000.0,10000000,0.0,2018,7,29,4.0,4,0
PRODUCTIVITY,1.0,26358,Everyone,Productivity,1.7,50000.0,500000,1.99,2014,1,17,2.0,3,1
BUSINESS,1.0,0,Everyone,Business,5.29.02,30000000.0,50,0.0,2018,6,15,5.0,1,0
PHOTOGRAPHY,0.0,2332,Everyone,Photography,2.2,1600000.0,100000,0.0,2015,8,28,5.0,3,0
FAMILY,1.0,5,Everyone,Entertainment,1.0,1400000.0,100,0.0,2017,9,22,2.3,1,0
COMICS,0.0,4496,Everyone,Comics,2.3.216,609000.0,100000,0.0,2017,10,29,2.3,3,0
FAMILY,1.0,10159,Everyone,Education,2.17,6400000.0,1000000,0.0,2018,4,13,4.1,3,0
FAMILY,1.0,681,Everyone,Education,1.1,2800000.0,50000,0.0,2015,11,20,2.3,2,0
FAMILY,1.0,9,Everyone,Education,2.3.1,20000000.0,500,0.0,2017,11,20,4.4,1,0
TRAVEL_AND_LOCAL,0.0,852,Everyone,Travel & Local,2.2.1,37000000.0,100000,0.0,2018,7,31,4.4,2,0
FAMILY,0.0,418,Everyone,Educational;Education,1.0.3,97000000.0,100000,0.0,2016,11,7,4.0,2,0
SHOPPING,0.0,3656,Teen,Shopping,4.16.2,9000000.0,1000000,0.0,2018,8,3,4.1,3,0
PRODUCTIVITY,1.0,130,Everyone,Productivity,12.0,3400000.0,1000,8.49,2017,5,3,1.6,2,1
BUSINESS,1.0,0,Everyone,Business,1.0.2,10000000.0,10,0.0,2018,6,11,4.1,1,0
FAMILY,0.0,15875,Teen,Simulation,1.5,40000000.0,1000000,0.0,2017,3,3,4.2,3,0
PARENTING,0.0,159,Everyone,Parenting,2.1.23,85000000.0,10000,0.0,2018,7,31,4.4,2,0
TOOLS,0.0,301,Everyone,Tools,1.2.9,2300000.0,50000,0.0,2017,11,28,4.0,2,0
BOOKS_AND_REFERENCE,0.0,2539,Everyone,Books & Reference,v1.1.6,8600000.0,500000,0.0,2018,7,26,4.1,3,0
